jobTitle,gender,age,perfEval,edu,dept,seniority,basePay,bonus,random,totalPay
Graphic Designer,Female,18,5,College,Operations,2,17831.923076923078,7644.615384615385,0,25476.53846153846
Software Engineer,Male,21,5,College,Management,5,44254.32735921611,8560,0,52814.32735921611
Warehouse Associate,Female,19,3,PhD,Administration,5,35526.153846153844,3564.6153846153843,1,39090.76923076923
Software Engineer,Male,20,5,Masters,Sales,4,41374.14544618737,7810.7692307692305,0,49184.9146769566
Graphic Designer,Male,26,5,Masters,Engineering,5,41274.48812467793,7168.461538461538,0,48442.94966313947
IT,Female,20,5,PhD,Operations,4,28803.846153846152,7789.230769230769,0,36593.07692307692
Graphic Designer,Female,20,4,College,Sales,4,27163.46153846154,4054.230769230769,1,31217.69230769231
Software Engineer,Male,18,4,PhD,Engineering,5,39360.30607629675,7876.923076923076,0,47237.22915321983
Graphic Designer,Female,33,4,High School,Engineering,5,59105.641025641016,3783.076923076923,1,62888.71794871794
Sales Associate,Female,35,4,College,Engineering,5,55796.92307692308,3823.461538461538,1,59620.38461538462
Graphic Designer,Male,24,5,PhD,Engineering,5,42485.509101978154,7855.384615384615,1,50340.89371736277
Driver,Female,18,4,College,Management,3,25307.30769230769,3893.846153846154,1,29201.153846153844
Financial Analyst,Female,19,5,College,Sales,3,33848.846153846156,6915.384615384615,0,40764.23076923077
Warehouse Associate,Female,30,4,Masters,Administration,5,45384.61538461538,3685.7692307692305,1,49070.38461538461
Warehouse Associate,Female,35,5,PhD,Operations,4,50555.89743589743,7496.153846153846,0,58052.051282051274
Marketing Associate,Female,27,4,PhD,Management,3,29383.46153846154,3974.6153846153843,1,33358.07692307692
Financial Analyst,Female,23,4,PhD,Administration,5,35177.692307692305,4141.538461538461,1,39319.230769230766
Warehouse Associate,Female,24,4,College,Administration,5,39455.76923076923,3826.5384615384614,1,43282.30769230769
Sales Associate,Male,21,5,High School,Engineering,5,36568.24740906176,7277.692307692308,1,43845.93971675407
Data Scientist,Female,30,5,College,Engineering,5,48752.30769230769,7567.692307692308,0,56319.99999999999
Warehouse Associate,Male,36,5,PhD,Engineering,5,63930.60646823348,7084.615384615385,1,71015.22185284887
Financial Analyst,Male,24,5,PhD,Sales,3,30655.00019922729,7176.153846153846,0,37831.15404538113
Warehouse Associate,Male,24,5,PhD,Sales,3,31493.86745516411,7532.307692307692,1,39026.175147471804
Driver,Female,35,4,College,Management,1,38111.794871794875,3473.4615384615386,1,41585.256410256414
Software Engineer,Male,21,4,PhD,Engineering,5,56510.08645877027,7403.846153846153,1,63913.93261261642
Graphic Designer,Female,26,5,College,Engineering,2,28916.153846153844,7703.846153846153,0,36620
Software Engineer,Male,19,5,Masters,Administration,4,37854.6548111595,7398.461538461538,0,45253.116349621036
Graphic Designer,Male,35,5,PhD,Management,3,49759.38578110135,7283.846153846153,1,57043.23193494751
Warehouse Associate,Male,34,5,PhD,Engineering,4,61060.31212498278,7828.461538461538,0,68888.77366344431
IT,Female,38,4,College,Administration,5,58806.153846153844,4040,1,62846.153846153844
Software Engineer,Male,20,5,Masters,Management,2,24608.71438206995,7797.692307692308,0,32406.406689762258
Sales Associate,Male,35,5,Masters,Management,5,58917.61450991588,8086.153846153846,1,67003.76835606973
Marketing Associate,Female,26,4,PhD,Operations,4,32056.153846153844,3551.153846153846,1,35607.30769230769
